chapter_number,cover_page,in_depth_summary,error
49,Color Cover: Nami relaxes with a giant seagull in sailor cap (labeled MARINE) and kerchief; behind stands a picket fence and a mailbox holding Luffy's straw hat.,"Zeff knows of a man with ""hawk eyes"" who seems to fill Gin's description. While the eyes alone aren't enough of a giveaway, the fact that he destroyed Krieg's entire fleet is more than enough proof that he is referring to the man he is thinking of. As Usopp and Luffy discuss never hearing of him, Zoro clarifies that is in fact the man he is looking for. Zoro's puzzled look from the previous chapter comes from the fact that he is looking for that same person, and that he was thought to be found nearby, according to some information Johnny gave him. As some of the chefs discuss a previous customer who get really drunk, Zoro decides that Johnny must have gotten his information mixed up. Sanji asks if perhaps the hawk-eyed man bore some kind of grudge against them, but Gin states that he recalls nothing like that, and that he just attacked them. Zeff proposes that maybe they disturbed his afternoon nap, enraging Gin at the possibility of that being the only reason. Zeff implores him not to get so upset, as such a thing is common in the Grand Line. This further excites Luffy, and he consequently decides that they must go to the Grand Line. Zoro agrees that his goals are undoubtedly tied to the Grand Line, prompting Sanji to label them all as idiots who would rush to their deaths. Zoro acknowledges that Sanji may be right, but warns against calling them idiots. He explains that the day he decided to become the World's Greatest Swordsman, he threw away all attachment to his own life, and thus he is the only person who has a right to call him an idiot. Luffy and Zoro chime in agreement. While Sanji expresses his disapproval, their conviction noticeably stirs something in him, prompting a smile from Zeff. Patty rushes in and reminds them all that Don Krieg's fleet is still parked in front of their ship.

Meanwhile, Don Krieg's crew recovers thanks to Zeff's food offering. They are rejoicing at being saved, and finally making it back from the Grand Line, which is also known as the ""Pirates's Graveyard"". However, Krieg tells them the plan is to actually return to the Grand Line. When he sees the lack of motivation in his men to return to where they were almost killed, he fires on a man who criticizes his decision. The crew quickly changes their mind and obey Krieg's orders. He then explains that they will steal the Baratie, not worried about the opposition since they are mere chefs.

When Krieg's men attack the restaurant, their galleon is suddenly cut in half. The men are in disbelief as nasty waves rock the boat. Krieg's subordinates try to tell him that the ship has been cut, but he refuses to believe that someone could cut a ship as big as theirs. Luffy, Zoro, and Usopp worry for the others, remembering that the Going Merry was outside in close proximity as well. When they head to where they left the Going Merry, they find Johnny and Yosaku almost drowning without a ship. The bounty hunters tell them the abominable truth; Nami fled with the Going Merry and all their belongings. At the same time, Zeff looks and notices a man on a small boat drifting towards them.",
50,"Buggy's Crew Adventure Chronicles, Vol. 11: ""Crab Attack"".
Buggy finds his raft attacked and scuttled by a giant crab.","As the Krieg Pirates find themselves reeling from the devastating attack to their ship, Johnny again apologizes for allowing Nami to escape them with the Going Merry. In a flashback, Nami was looking through known bounty posters, having stopped at a particular one for  20,000,000. Nami then started to act strange, furthering Johnny and Yosaku's interest. They tell her that the pirate featured in the poster had been quiet for a while, but recently started rampaging again. As they are talking, she moves Johnny and Yosaku's treasure to the Going Merry's deck and asked them to turn around as she changed clothes. While the two fought their temptation to peak, they were suddenly pushed overboard by Nami. Nami told them she had a nice time, but since she was a pirate thief, there were no exceptions. She says goodbye, and tells them that if fate truly links them, then they will meet again.

In the present, Zoro and Usopp are upset (Zoro for being betrayed, Usopp for losing the Going Merry). Luffy spots the ship on the horizon, and tells his crewmates they're going after her. Zoro tries to say that no good will come of chasing after a thief like Nami (To which Usopp retorts she stole their ship), but Luffy tells them that he will accept no one else as their navigator. Zoro wonders why he followed such a troublesome captain, but nevertheless agrees with his captain's orders and prepares to set sail along with Usopp, Johnny, and Yosaku on their ship. Luffy is not able to join as he still has debt to repay to Zeff, and Zoro warns him to be careful. As they begin to part ways, one of Don Krieg's subordinates yells to him that the man who destroyed their fleet has returned to kill them all.

Aboard the Baratie, the chefs discuss the man slowly drifting towards them, before Zeff confirms his identity: the ""Hawk-Eyes"" man is introduced as Dracule Mihawk, the world's greatest swordsman. Zoro is in absolute disbelief, and the Krieg Pirates demand to know why Mihawk has followed them. He tells them it was simply to ""kill time"" inciting the anger of one of the pirates to the point he attempts to shoot him. Mihawk draws his blade and easily redirects the bullets away from himself. While some Krieg Pirates believe he simply missed, Zoro corrects them and tells them that he actually changed the trajectory of the bullets with his blade. Zoro tells Mihawk that he's never seen such a sword handled so gracefully, with the Master Swordsman replying that there is no strength in swordplay without grace. Zoro asks Mihawk if he cut the ship as well. When Mihawk affirms, Zoro is absolutely certain that he is indeed the strongest in the world, a goal he tells Mihawk that he himself is trying to reach. He then challenges Mihawk to a duel as Mihawk said he was looking to kill time, as the Krieg Pirates and the Baratie staff realize Zoro is indeed the ""Pirate Hunter"" they've heard of before. Usopp tries to warn Luffy that the Going Merry is getting farther away from them, but he ignores it as he has now become focussed Mihawk and Zoro. Mihawk disembarks his ship and approaches Zoro, but doesn't seem interested in dueling him and calls him a weakling. He tells Zoro that if he were truly a great swordsman, then the difference in their powers would be obvious without the need to cross blades, and asks if this desire to duel comes from his conviction or ignorance, Zoro replies that he is doing this for his own ambition, and to fulfill a promise to a friend.

The scene then changes to Nami sailing away on the Going Merry, she has already begun to miss the crew. She comments to herself about how she thinks  they are good people, and wonders if they will still call her a friend when they meet again, if they meet again. As the scene gets closer to her face it's revealed that she is crying, saying that she just wants to be free, and addressing someone named Bell-mère.",
51,"Buggy's Crew Adventure Chronicles, Vol. 12: ""Enter the Mysterious Lady Pirate"".
A female pirate in a heart-themed boat drives off the crab with her pistol, saving Buggy.","Having now fully drawn his swords, Zoro expresses his shock at meeting the World's Greatest Swordsman Dracule Mihawk so early in their adventure. The impending duel has garnered the full attention of everyone present; Krieg Pirates, Straw Hats, and Baratie staff alike. However, Mihawk humiliates him by answering his request with a pocket knife, which was the pendant he was wearing around his neck. He states that he isn't like most fools who would go all out to hunt a mere rabbit. He goes on to explain that while Zoro may have earned some fame as a swordsman, the East Blue is the weakest of the four seas that are separated by the Grand Line and Red Line. He actually regrets that he didn't have an even smaller knife. Zoro is now furious at the degree to which he feels underestimated and prepares to attack, telling Mihawk not to regret it when he dies. As Zoro charges, Mihawk likens him to a frog in a well; stating that its time he experiences the real world beyond his little well. Zoro attempts to use ""Oni Giri"", but Mihawk effortlessly stops all 3 katana with the tip of his knife. Luffy is visibly surprised, while Johnny and Yosaku can't believe that one of Zoro's signature techniques was stopped so easily. Zoro himself considers how no man has been able to stop the technique before, and yet Mihawk countered it so easily with a ""toy"". The shock sends him into a frenzy, ferociously swinging at Mihawk while he wonders how the real world could possibly be so far out of reach with all his training and preparation. Mihawk continues to dodge and counter without so much as breaking a sweat. Zoro remembers his promise to Kuina, and redoubles his efforts. Mihawk notices his mental anguish and questions what burdens him so, and why he seeks the ultimate power. He again calls Zoro a weakling, this time angering Johnny and Yosaku to the point they attempt to intervene, but Luffy stops them. Zoro gets back on his feet, and prepares the ""Tora Gari"".

This time Zoro remembers his promise to Luffy instead, and how Luffy's reaction was that he'd expect nothing less of him to be standing at his side as Pirate King. Before Zoro could land the attack however, Mihawk pierces him in the chest with his knife. While everyone is shocked at the devastating blow, the biggest surprise comes from Mihawk, as Zoro simply stands there with the knife in his chest. He asks Zoro why he refuses to step back, and Zoro doesn't really know himself. He explains that if he were to take even one step back, it would be like stepping back on every vow he's made to this point, which would prevent him from ever making it back to where he is now. Mihawk states that such is defeat, but Zoro feels that is even more reason not to step back. Mihawk questions if he'd stand by this conviction even if it meant his death, but Zoro counters that death might actually be better. Mihawk is incredibly impressed by Zoro's strong display of will, and upon removing the knife from his chest, asks the latter to state his name. As Zoro complies, Mihawk finally draws his blade, telling Zoro that he will remember his name, as he does not often see his level of conviction in this world. As a gesture of respect to a fellow swordsman, he tells Zoro that he will fight him with the World's Strongest Sword.

Zoro prepares his ultimate attack, the Sanzen Sekai, as Mihawk charges toward him. The move ultimately proves ineffective, as all of his swords except the Wado Ichimonji are broken in Mihawk's attack. As his swords break, he concedes defeat and muses how he never even considered the possibility of losing. He stands to face Mihawk, exposing his chest, and extending his arms out to receive the final blow. Mihawk is puzzled, and Zoro tells him that a cut to the back is a shameful act among swordsmen. Mihawk is pleased with Zoro's brave gesture and slashes his chest open. As Zoro begins to fall from the wound, Mihawk makes a mental note that Zoro shouldn't rush his own death.",
52,"Color Spread: Eight headshots in two tiers, the top focusing on the Straw Hat Pirates—Nami, Zoro, Luffy, and Usopp—and the bottom on the Baratie principals—Krieg, Mihawk, Zeff, and Sanji. In-between, Patty, Johnny, and Yosaku squeeze themselves into various letters of the ""ONE PIECE"" logo.","Luffy, Usopp, Johnny and Yosaku are horrified at the cut Zoro has received, while the Krieg Pirates are in pure disbelief that someone as strong as Zoro stood no chance against the power of the Grand Line. Remembering Zoro's earlier words that his ambition meant he no longer had any attachment to his own life, Sanji is still perplexed that Zoro wouldn't throw it away if it meant certain death. He states that it should be simple, yelling out to Zoro as he falls into the ocean. After having seen his first friend utterly defeated, Luffy charges against Mihawk full of rage while Johnny and Yosaku dive in to save Zoro. He does so by extending his arm all the way over to Mihawk's location, shocking everyone present, as they were unaware he was a Devil Fruit user. He is easily avoided, as Mihawk deduces that he is one of Zoro's friends. Instead of fighting, the swordsman tells him that Zoro is not dead.

As Johnny and Yosaku recover Zoro's body from the ocean, Dracule Mihawk re-introduces himself, telling Zoro that it is much too early for him to die. Mihawk implores Zoro to learn more about both the world and himself, and to become strong. He promises that no matter how long it will take, he shall await him at the top in his strongest form. He encourages Zoro to press on with his strong will and surpass his sword, but more importantly, surpass him. While Usopp, Johnny, and Yosaku attempt to resuscitate Zoro, Mihawk turns to Luffy and asks him his goal. When Luffy answers ""Pirate King"", Mihawk smiles and casually tells Luffy that will be much more difficult than surpassing him. Luffy is undeterred by this, and asks Usopp if Zoro is ok. Usopp says that he's still alive, and only lost consciousness. Johnny and Yosaku plead for Zoro to say something, and to everyone's shock, he lifts his blade in the air. He apologizes to his captain for making him worry, repeating his earlier sentiment to him that he would be in a real dilemma as Pirate King if Zoro was not the World's Greatest Swordsman. Fighting against his pain and coughing up blood, he tearfully vows to Luffy that until the day he defeats Mihawk and becomes the World's Greatest Swordsman, he will never lose again. He asks his captain as future Pirate King if he has any issues with this, which Luffy happily denies. Satisfied by these spirits, Mihawk turns to leave without paying much attention to the Don Krieg pirates who he was looking for in the first place. He tells Luffy that him and Zoro make a good team, and wishes to see them again in the future. This new nonchalant attitude towards Krieg angers him, and he attempts to fire on Mihawk. The swordsman deals another devastating blow to what's left of the galleon, sending Krieg's men flying. When the dust settles, Mihawk is no longer present.

Having jumped back aboard the Baratie in the wake of Krieg and Mihawk's clash, Luffy tells Usopp to go on ahead and get Nami. Usopp promises to do so, then asks Luffy to stay here and convince Sanji to join them. He suggests that when they have five people in the crew, they should go to the Grand Line, and Luffy agrees. Sanji notices that Don Krieg's men are starting to plot something. Luffy decides to make a deal with Zeff: if he gets rid of them, it will settle his debt with him.",
53,"Buggy's Crew Adventure Chronicles, Vol. 13: ""Wanted Man""
Buggy is shocked when his mysterious savior produces a picture of the man she's searching for: Monkey D. Luffy.","Don Krieg decides to steal the Baratie, saying that it will make a perfect ship for the Grand Line, since no one would suspect it to be a pirate ship and when one of his crew speaks out about going back, he kills him. Krieg also mentions his plans to read Zeff's logbook to better prepare his crew for the grand line. This inspires the Krieg Pirates, and they start to attack the Baratie, to which Luffy responds by attacking them and defending the Baratie as per his agreement with Zeff.

However, the chefs are ready to fight, they release a wood platform in front of the restaurant, so that they do not have to fight into the restaurant and damage it, and Patty and Carne show off the Sabagashira No. 1 which is the fish head of the Baratie, and a paddle boat, which they use to attack Krieg. However, Don Krieg manages to subdue it easily and throw it back toward the chefs, but Sanji kicks it back just as easily showing his true strength.",
54,"Buggy's Crew Adventure Chronicles, Vol. 14: ""Pirate Alliance""
Over drinks and a hot meal, Buggy and the woman agree to be partners in the hunt for Luffy.","The Don Krieg pirates attack the Baratie chefs. Both claim to be more powerful as they've each faced separate, but challenging perils. Patty and Carne, who have exited safely from their tank, beat back many of the Krieg Pirates and cheer on their fellow workers. They remind them they fight not for just the Baratie, but their freedom to cook and fight where they are shunned from most ordinary restaurants.

However, the self-proclaimed Invincible Pearl appears behind the two chefs. He claims to be the most powerful and proves it by beating the chef duo in one punch as he wears his armor made of pearl and steel. When Sanji see that some of Krieg's pirates take the opportunity to steal Carne's knives, he kicks away all of the pirates and retains ownership of the knife for his chef friend.

When this Pearl continues his arrogant taunts, claiming he has not even bled one time in his battles, Sanji attacks him. At the same time, Don Krieg treacherously attacks Luffy who was enjoying Sanji's show. Luffy is sent flying in the process, but accidentally fall back on Pearl's head, knocking it into his armor. Pearl lifts his head and reveals A drop of blood coming from his nose as the first time he's bled in battle.",
55,"Buggy's Crew Adventure Chronicles, Vol. 15: ""Oh Captain, We Hold You in Our Hearts"".
On an unknown island, the Buggy Pirates—unaware their captain is actually alive—build a grave for Buggy's severed body.","When Pearl receives the first bloody nose of his life, he enters a berserk rage and sets his armor on fire by punching the pearls on it. Many of the chefs become frightened and warn him that he will set the entire ship on fire. However, as a cook, Sanji warns the other chefs they should not be afraid of fire as he leaps over the firewall Pearl has created.

Sanji continues to battle Pearl with his superior speed and kicking abilities. He tells them that a chef's tools include his hands so he only uses his feet when fighting. Pearl becomes increasingly upset as he is trashed by Sanji.

In order to stop him from destroying the ship, Don Krieg throws a knob toward Sanji and Pearl. Luffy is able to deflect it with his Gum Gum Bazooka. The knob instead destroys Don Krieg's ship mast which falls over and subsequently renders Pearl unconscious.

However, the Krieg Pirates have not said their last word. While they were fighting, Gin has taken Zeff down and threatens to take his life as he holds a gun to his head.",
56,"Color Cover: Sanji heads out on a cigar-smoking bison, packed with several days' provisions; Luffy follows behind, for some reason carrying his own bison (who is also wearing his hat) instead of riding.","Taking Zeff hostage, Gin asks Sanji to leave the ship. Sanji refuses and tells him to go to hell. What might appear as a very egotistical reaction on Sanji's part, turns out to be a gesture of sacrifice. Indeed, Sanji asks Gin to point the gun at him instead of the owner, and when the newly conscious Pearl attacks him, he does not avoid or counter him anymore. Luffy gets ready to punch Pearl, but Sanji yells at him to stop. If they do anything further to harm the Krieg pirates, Gin is highly liable to act on his threat. Sanji knows this, and holds himself accountable for Zeff and the Baratie. The reasons behind his weird shift in behavior are hidden in the past of these two chefs: Sanji blames himself for having destroyed Zeff's former life, his dreams, and his strength. He does not want him to lose anything more and would die rather than give Don Krieg the Baratie.

Pearl takes this opportunity to wallop Sanji, since he won't raise a finger to possibly endanger Zeff. The cooks around them are dying to know what could have possibly happened to them so long ago, because they were under the impression that Sanji had hated the head cook. While Sanji is down after several attacks from Pearl, two words come to mind before the scene flashes back in time: All Blue.  Nine years ago, young Sanji was an apprentice chef on the Orbit cruise ship. He one day told his older chef companions about his dream to find the All Blue, a legendary sea where all species of fish and seafood from all the world's oceans could be found. After mocking him for believing that such a sea exists, they began to eat the many leftovers left by the clients. Sanji finds this disgusting, and berates them for eating scraps, when there is still fresh food and their next port of call is only two days away. The more experienced cooks reply that on the sea, one does not know what may happen. A sea-faring cook must take advantage of whatever resources are available. He doesn't see the allure, and rejects their leftovers again.

Suddenly people on the deck began running and yelling for help. The ship is being attacked by Zeff and his crew, the Cook Pirates.",
57,"Buggy's Crew Adventure Chronicles, Vol. 16: ""The Duel of Captain's Succession"".
Their mourning complete, the rest of the Buggy Pirates watch as Mohji and Cabaji battle for the right to succeed Buggy as captain.","9 years ago, a cruise ship was attacked by pirates, fresh from their journey to the Grand Line. They are the fearsome Cook Pirates captained by the chef pirate Zeff. The two captains meet, and hardly a second passes after the cruise ship captain asks their demands when Zeff commands his men to take everything of value. After pillaging, they bring back their spoils to the deck, in order to transfer it to their ship. Zeff notices something amiss with one of the bags that his underling set down, and he commands him to stop. The pirate knows he has been caught stealing food from the bag, and he starts to make excuses, but Zeff delivers a megaton force kick and sends him across the deck. Zeff reiterates that you should never touch someone else's food. Meanwhile, Sanji does not accept this fate and has decided to bravely attack the pirates with his cooking knives. He is easily beaten but does not surrender. The young boy does not want to die, until he has realized his dream to find All Blue. Upon hearing this, Zeff has a pensive look on his face, as if he is considering Sanji, but all the other pirates burst into raucous laughter, stating that such a place does not exist, even on the Grand Line.

With the storm getting stronger, Zeff orders his men back to their ship. But a large wave catches Sanji and he is thrown overboard. Immediately, Zeff snaps a mast off with a kick and grabs it while he jumps in to save him, against his better judgment. Unfortunately, an even bigger wave smashes both ships to pieces, and all is in chaos as the storm goes on.

After a few days, Sanji wakes up on a large rock, deserted at sea. He sees that he only has Zeff for a companion, and starts when he realizes the possible threat. After being kicked though, it is evident that he is in no condition to move so fast. Sanji asks about his ship, and Zeff guesses that there were no survivors. The wreckage of his own ship around him indicates that no one is likely to have made it. They have no choice but to wait for rescue, which they both know is unlikely, due to their precarious situation. He informs Sanji that the storm was two days ago, and they were washed up on this barren rock, stranded with no resources whatsoever. They still maintain their rivalrous banter, but Zeff at least deigns to give him a portion of some food that washed up with them. Sanji complains at how much bigger Zeff's portion is, but he only says that he needs more since he is bigger. Sanji isn't at all happy about this, but Zeff has complete control of the situation, and without this food, they face the horrible possibility of having to resort to cannibalism. Zeff tells him to stay on one side of the island, while he goes to the other, so they have a greater chance of spotting a ship.

Now alone, Sanji watches the sun setting over the ocean. He is very hungry and turns to look at his food supply, but thinks on what Zeff said earlier: Normally, it would be enough food for five days, but as chefs, they should be able to make it last longer. He hangs his head, starving but determined to stick it out. On the other side, Zeff holds a boulder aloft, and through a piece of wood clenched in his teeth, he says determinedly that this is the end of ""Red Leg"" Zeff. He brings the rock down on his leg, severing it just below the right knee.",
58,"Buggy's Crew Adventure Chronicles, Vol. 17: ""The Twelve-Hour Bout"".
By nightfall, Mohji and Cabaji are still fighting, still no closer to deciding the captaincy. The other Buggy Pirates have long fallen asleep, Richie in particular enjoying his own dreams of being captain.","Sanji tried to divide his small portion of food wisely, but after 25 days he had only one piece of moldy bread left. He had only seen one ship that did not even see him pass. After 70 days, weak and hopeless, he decided to reach Zeff to steal his food.

Upon arriving, he found Zeff's bag was still almost full. He became enraged and approached Zeff with a knife, declaring he was taking the food and did not care about him. However, when Sanji opened the bag, he found it had only been filled with treasures. Sanji realized that Zeff had given him all the food and that he had only survived by eating his own leg. When asked why he acted such foolishly while they hate each other, the pirate revealed that, he too, believed in the All Blue and that he was trying to find it in the Grand Line. However, now that he no longer has his crew, he could not realize this dream anymore. He decided if they were rescued, he would retire from piracy and start a restaurant.

The miracle occurred, after 85 days, the ship Sanji had seen came back and saved them.

Back in the present, Sanji's behavior makes more sense: in the memory of the old man that saved his life, he will not allow anyone to kill him or steal his last dream.",
59,"Buggy's Crew Adventure Chronicles, Vol. 18: ""Explosion!! Sleepwalking Richie"".
Still dreaming of adventures as captain of his own crew, a sleepwalking Richie unknowingly knocks out Mohji and Cabaji both.","Sanji continues to let Pearl assault him as he has decided to die rather than let the Baratie be taken by the Krieg Pirates. Luffy becomes angry as he does not understand how Sanji's death would repay Zeff's sacrifice. To put an end to Sanji's suicide, he destroys the Baratie since it is the target of Don Krieg. While Sanji and Luffy fighting about the best solution to save Zeff, Pearl decides to attack them. However, he is stopped by Gin, who defeats him with one blow. He proclaims he will take care of Sanji's death, personally.",
60,"Buggy's Crew Adventure Chronicles, Vol. 19: ""Formation!! The Richie Pirate Crew"".
At daybreak, while Mohji and Cabaji lie beaten, a triumphant (if confused) Richie is declared the new captain, complete with his own Jolly Roger.","Gin promises he will honor Sanji by killing him by his own hands. Sanji has little reaction to Gin's threats. This also goes for Luffy, who does not see himself loosing in front of such a crew.

For the Krieg Pirates, who see themselves as the most powerful of East Blue, this is unforgivable and they rush the two kids. However, they are immediately stopped by their captain; while he is here they have not to be worry of who is the stronger. However, when Krieg asks Luffy the question of who is stronger, Luffy naturally responds that he is the strongest one here.

In order to make him realize the difference between the two of them, Don Krieg threatens Luffy with one of his strongest weapons - the poison gas MH5. Krieg fires the bomb at the Baratie. When Luffy attempts to bounce the bomb back, it reveals to actually be a shuriken bomb and not a poison bomb. Hurt by the sharp stakes, Luffy admits he was tricked, but he continues to assert that he is the strongest. As his anger rises, Don Krieg asks Gin to take care of Sanji. He tells him he will deal with Luffy personally.",
61,"Color Spread: The Straw Hat Pirates help some giant squids harvest daikon—with varying levels of seriousness. While Usopp and Luffy fool around with a wheelbarrow, Nami falls asleep reading a book.","Sanji and Gin fight but their attacks cause little damage. They find their abilities are equally matched. The Krieg Pirates estimate that Gin will lose, but Don Krieg says Gin's fighting abilities will no give out. He explains that Gin is a calm and collected ""Demon"". He tells them that Gin can kill his opponents without pardon and many people have called him ""The Demon"". That's why he had placed him as the battle commander in his armada. Due to his injuries from fighting with Pearl, Sanji is cornered by Gin. Patty and the other Baratie cooks become worried.

Meanwhile, Luffy attacks Don Krieg, but Don Krieg releases his armor and plans to kill Luffy. He shoots Luffy with bombs and spears. That spears impale Luffy's foot, and he almost falls into the ocean. Luffy asks if Don Krieg is not serious to fight him directly. Krieg answers the most important skill in fighting is to kill the opponent. Krieg jeers that Luffy is a monkey because he attacks without strategy.

Don Krieg's Pirates scream that Sanji's bone is broken. Gin roughs up Sanji ten times. Gin attacks Sanji and brings him close to his death. Krieg's Pirates cheer at Gin's win. When Gin prepares to execute Sanji, he remembers how Sanji gave him food. Gin begins crying. He admits he cannot kill the only man who treated him kindly in his entire life.",
62,"Richie Crew's Adventure Chronicles, Vol. 1: ""The Island's Indigenous Kumate Tribe"".
The newly-minted Richie Pirates run into a pack of heavily-armed natives.","Don Krieg is disappointed with Gin because he disobeys his order to kill Sanji. Before that, Gin was the person he trusted the most. Krieg sees excess in Gin's personality that will win in the battlefield. Gin says he will always respect and admire Krieg. However, he cannot kill Sanji and requests to let the Baratie go free. Krieg becomes angered at Gin's gall. The Krieg Pirates remain confused about what happened to Gin.

Krieg prepares to shoot his MH5 bomb. All of Krieg's crew pull out their masks to survive. Krieg demotes Gin and asks him to throw away his mask. The Don Krieg Pirates cannot believe that Krieg would kill Gin. Gin was very loyal, such as when the crew hazed from Fullbody, Gin went alone to the ships of the Marine and masqueraded as captain. Gin always sacrificed himself to save Krieg and he did anything to win, that's why people called him ""Demon"".

Meanwhile, Luffy attempts to stop Krieg, but fails. Luffy takes back his step and announces he will save Gin from Krieg. But Gin still believes in Krieg as his commander and throws away his mask as he was commanded. Krieg shoots the MH5. The Baratie cooks escape by diving underwater and Krieg's crew uses their masks to protect themselves from the poison gas.

Thinking quick, Luffy takes two masks away from some of Krieg's pirates. He gives the masks to Sanji and Gin. When Luffy wants to take a mask for himself, no masks remain. Suddenly, he spots a mask as the MH5 activates and places it on his face. After 5 minutes, the gas dissipates and Gin is revealed to have not worn his mask. Luffy realizes that Gin selflessly gave him his mask.",
63,"Richie Crew's Adventure Chronicles, Conclusion: ""The Pulverization of the Richie Crew"".
Richie ""leads"" his new crew into a quick, brutal defeat at the hands of the Kumate Tribe.","After Don Krieg shoots the MH5 gas bomb, he further angers Luffy and Sanji by claiming that Gin is garbage and it's proper to die by his own hands as his commander. Krieg's crew cannot believe what is happening to Gin at Krieg's hands. Patty and Carne emerge from the restaurant, and Sanji immediately calls to them for any antidote the Baratie may have. They show a little hesitance to help an enemy, but Sanji urges them to comply. Zeff lets them know that they need to put a gas mask on him right away, to use whatever antitoxin might be left in it. Then take him up to the upper deck for clearer air, as this could be the only way to save him. Patty and Carne are amazed by this quickly-placed wisdom, until Sanji snaps them out of their stupor, and they rush to help.

Luffy becomes angry with Krieg and tells Gin that he can't die and has to survive to spite his terrible captain. Krieg estimates that Gin has about an hour left to live. Luffy promises to beat Krieg no matter what, but Gin is still certain that he cannot beat Krieg. He gets carried off, and Luffy turns to confront the pirate captain, but he is held back by Sanji who doesn't want him to get killed. But Luffy brushes the hand away and firmly states, ""I won't die,"" then rushes headlong toward Krieg, fearing no bullets or stakes. Sanji is forced to accept Luffy's decision, and Krieg smirks at Luffy's stubbornness - what he perceives to be reckless foolishness.

Don Krieg mocks his repeated attempts as he tosses bombs at the bridge in front of him, welcoming Luffy to his grave. The explosion again creates a wave that obscures the bridge in sheets of water, and Krieg fires another round of stakes. Sanji hears the stakes come in contact with Luffy, and Krieg notes how his enemy would rather die than retreat with mild intrigue. Defying all norms, Luffy crosses through the mist, now sporting a stake in his side and his left shoulder, but otherwise undeterred. He uses Krieg's tactic against him when he flips forward to crash the surface of the water with an outstretched leg. He stretches his arm behind him with the intent of punching him through the screen of water. Krieg sees that he is determined to land a hit no matter the cost, so he thinks fast and implements his porcupine cape, a cloth studded with spikes large enough to cover his whole body. He thinks himself invulnerable, but Luffy delivers a solid blow to his jaw, despite his fist meeting the field of spikes. For the first time in the fight, Krieg has been sent sprawling to the ground.

Luffy asks Krieg then, if this is his grave or Krieg's, as he pulls the stake from his shoulder. He proclaims that he doesn't have sneaky weapons like Krieg, but he's still a viable fighter who won't die here. Sanji watches on and claims that Luffy is crazy, but Zeff tells him to watch Luffy fight. While Zeff talks to Sanji, the situation with Gin unfolds, as Patty and Carne tend to him on the top deck of the restaurant.  They try to make sure he breathes, and Patty suggests making some food for him, to which Carne replies that he has already been poisoned once today. They start arguing, but get interrupted upon hearing Gin start to hack and cough. Zeff continues relating to Sanji that it's not often that a person comes along who will not quit fighting once he has his eyes set on a particular goal. Regardless of if Luffy wins or loses this fight, that's the kind of man Zeff respects, and this gets Sanji thinking.

The Krieg pirates are getting nervous, and the chefs start cheering Luffy on, having been won over by his spirit. Krieg gets up off the ground and punches at Luffy in a rage, catching him on the shoulder guard, and smirking as he fires the built-in cannon. But he pays for this miscalculation, when Luffy escapes before the blast and hooks his foot around Krieg's neck, bringing him down a second time.",
64,"Color Cover: Sanji cooks away as head chef of the Baratie, while kitchen assistant Luffy feeds his alligator coworker.","Don Krieg is knocked down once again by Luffy. This creates severe anguish amongst his crew members, as Don Krieg has always gone out of a battle unscathed. However, when one crewmate states that he believes Luffy to actually be stronger than Krieg, he arises, telling them to shut up before combining his shoulder plates together to form his ""Great Battle Spear"", which he slams into the ground next to Luffy, creating an explosion.

The crew members are finally rejoicing as they see Krieg's secret weapon, as he discards his cape and comments that it's way stronger than the stakes he fired at Luffy earlier. While Luffy wonders how the spear made an explosion, Krieg swings it again, sending Luffy flying over the ocean, but luckily, he stretches towards a platform floating. However, due to the fact that he has lost lots of blood thanks to Krieg, and that the platform he's standing on is unstable, he soon falls to his knees.

Now, the crew members are talking amongst themselves about Krieg's weapon, which apparently creates explosions depending on how powerful the blow is. Krieg continues his assault on Luffy, who is dodging for his life. The crew members are now discussing Krieg's massive strength, as the lance weighs approximately 1 ton, yet Krieg can swing it around with only one arm.

Finally, Luffy loses balance and jumps over Krieg's blow, but this makes him wide open for an attack. However, just in the nick of time, Luffy grabs the lance before it can hit him. Enraged, Krieg slams the lance into the ground, forcing Luffy to let go. Krieg proceeds to ram his lance into Luffy, who grabs the tip, but Krieg merely whips it around, creating an explosion which sends Luffy flying. As Krieg swings again, Luffy is hit head-on. Krieg then proceeds to tell that him that he is stronger than Luffy.

However, Luffy answers by slamming his foot into the ground, breaking the spear's tip, much to Krieg's confusion and horror. Luffy tells him that he hit the tip 5 times, and that with the wide area they have landed in, Luffy can defeat him.",
