chapter_number,cover_page,in_depth_summary
26,"Animal Theater: Woodpeckers begin destroying the Straw Hats' ship, much to Nami and Zoro's horror—and Luffy's complete disregard.","Klahadore asks Jango to not mention the word ""murder"" and to stop calling him Captain Kuro. Usopp and Luffy spy on the pair and Usopp suddenly remembers the name ""Captain Kuro"". Usopp recalls he was a feared pirate who raided many towns and was finally put to death three years ago after he was captured by the Marines.

Jango finds it amusing his captain declared he was bored with a pirate's life, made him captain and secretly settled in the village, but so long as there is a reward he is happy doing whatever Kuro asks of him. According to Kuro, all Jango has to do is hypnotize Kaya to sign a will so he rightfully owns the mansion because ""Klahadore"" is not a member of the family and therefore cannot inherit her fortune otherwise. Once the task is done he must then kill her without making it look like she was murdered. Jango mocks his former captain, stating that if it was him, he would just invade the mansion and takes the riches, however Kuro reminds him that would make him a pirate again. Jango mocks him once again for asking for a peaceful life when he plans to kill everyone to get Kaya's money, but Kuro states he did not expect some things like Kaya's parents death as they died unexpectedly in an accident.

As Usopp slowly comes round to the realization of what he is hearing, he has to contend with Luffy who was not fully listening. While he deals with thoughts related to the problem at hand, Luffy stands up and shouts to the pair below them. While Usopp is horrified at what Luffy did, Usopp grabs him to pull him down before he is seen, but Kuro and Jango look up the cliff and see the pair.

All of a sudden, Jango holds up his ring and begins to hypnotize the pair, while Usopp looks away in time, Luffy is clueless about the ring to do so. While Luffy has fallen asleep, so apparently has Jango, Usopp yells to Luffy but Luffy falls off the cliff seemingly to his death. While Usopp yells about killing Luffy, Jango asks if Usopp should be killed as well but Kuro just states even if he tells the village no one will believe Usopp on what he heard, due to Usopp's reputation as a liar.

As he rushes to the village, he passes Nami, Zoro, and the other Usopp Pirates. As Usopp enters the village and warns them, they think it is a prank again and are angry he has used the joke twice in one day. They tell him they have to punish him this time for lying as his joke has gone too far and that he is untrustworthy, telling him they would believe him if only he had been a trustworthy man like Klahadore.

Back at the coast, Kuro has gone to greet his men after three years away from them and ensure the plan in the morning. At the mansion, Kaya asks for Klahadore, another servant tells her he went to the next town. Back at the coast at the bottom of the cliff, Luffy is sound asleep."
27,"Animal Theater: Zoro holds a training match with a kangaroo and her still-pouched joey, pitting his three shinai against their four.","At the mansion, Kaya and a servant discuss the glasses they brought Klahadore as an anniversary present from the next town.

In the village, Usopp is having trouble convincing the other villagers that the pirates really are coming and ends up fleeing in fear.

At the cliff, Luffy is awake, Nami, Zoro and the other Usopp Pirates are learning of the plan. Zoro questions why he was sleeping where he was, Luffy recalls being on the cliff before then. The Usopp Pirates realize they have to get away before the pirates coming tomorrow while they still have the chance to and run off. Luffy is more concerned with buying food from the butcher's shop before he is killed.

At the mansion Usopp arrives to save Miss Kaya. He tries to explain Klahadore is a pirate. Kaya does not believe Usopp and does not know what to make out of the story. As Kaya's other servant enters the room, Usopp is suddenly pounced upon by the two bodyguards out the front of the mansion, he struggles to break free. He knocks them out with his hand slingshot, Kaya beckons for him to stop. She believes Usopp is not the person she once knew. As the villagers come by the mansion, Usopp grabs Kaya, only to be slapped in the face and forced to let go. Kaya says Usopp is the worst person she knows and Usopp is forced to run when her servant gets a gun out and shots at him despite Kaya's plea. Usopp is hit by a shot in the arm, but manages to escape with his life. When Usopp is gone, Kaya faints onto his chest.

As he leaves the village, Luffy and the others catch up with him. He hides his wound from them and tries to say it was a lie to get back at the butler. The Usopp pirates believe him. The three kids wonder off home.

Later that night Usopp explains to Luffy, Nami and Zoro that because he always lies, the villagers did not believe him. Since the villagers think Usopp is lying, Usopp decides he will make the lie become just that, tomorrow he will wait for the pirates and face them off so the villagers will think it was indeed a lie. The others announce they will help him fight the pirates so he does not have to face them alone."
28,"Color Spread: After a long day's harvest, fieldhands Luffy, Zoro, and Nami ride home on Farmer Shanks' cart; on the way, they find the vegetables they've picked have assumed their own faces.","Usopp, Nami, Zoro, and Luffy all agree to protect the village against Kuro and the Black Cat Pirates. Usopp is scared and his knees shake despite claiming he is not. Usopp begins to make a plan, he asks Zoro, Luffy and Nami what they can do and they reply Slicing, Stretching and stealing respectively, Usopp adds his skill is ""hide"".

Inside the mansion Klahadore and Kaya's other servant discuss Usopp's actions of the day while Kaya sleeps soundly in her bed. Klahadore finds the glasses that were supposed to be a present for him in the morning on their 3rd anniversary, they were specially made for him so he did not have to keep pushing his back up. As the other servant continues to talk, Klahadore suddenly begins to talk strangely. He looks to the crescent moon and states it makes him wild. Before his eyes, Klahadore smashes the glasses and looks devilishly at the other servant stating his present will be the mansion. Klahadore states that he no longer has to pretend as there is only a few hours left. He pulls out his cat claws from a bag he is carrying and turns them on the servant.

On board the ship of the Black Cat Pirates, Jango is awaken from his sleep to be told in a few hours they will have to go to work on the plan. Jango leaves his quarters walking backwards out of his cabin. Back at the coastline, Usopp and the others have now laid oil down the slope towards the village.

As morning breaks everyone readies for action. Both on the coast and the pirate ship. At the mansion, Klahadore enters the room where Kaya is sleeping. Jango and the crew arrive at the coastline leading to the village. At where Usopp and the others are there are no pirates, suddenly Usopp remembers there is more than one port along the coast line and they are at the wrong one. As panic breaks out, Usopp states the layout is the same and the coast is only three minutes away from this one. Nami realizes their boats are parked at that one. As Luffy rushes off, Nami tries to follow but her foot slides as she steps on the oil, as she slides she grabs hold of Zoro and uses him to get off the oil. Leaving him behind she rushes off to save her treasure. Zoro swears he will kill her, while everyone else rushes to the correct coast.

Usopp arrives there quickly and shoots some of the pirates down. Zoro is still trapped on the slope and Luffy is back at the village after going the wrong way."
29,"Luffy, Zoro, and Nami snowboard down a hill.","Usopp realizes he is in trouble, as he is the only one standing to face off against the Black Cat Pirates. Jango mistakes Usopp's lie about having a large number of pirates as the truth, much to the disbelief of the crew.

The Black Cat pirates find a ship with treasure on it next to theirs. Usopp comments on how it's his treasure and tries to bribe them into leaving for it, but Jango and the others just state they'll take it anyway and that they will not leave. As Jango pulls out his ring to hypnotize Usopp, Nami shows up and bashes him on the head for trying to give them her treasure meanwhile Jango has put himself to asleep (again). With no sign of Luffy, Nami tells Usopp to go fight the pirate while she supports him. As the Black Cats begin to advance forward, Usopp and Nami throw some caltrops at the pirates that Usopp brought along.

Back at the other slope, Zoro lays on his back, tired from trying to get past the oil he slipped down. Finally he resorts to using his swords to climb up with. However he faces his next problem - he does not know which direction is north. Meanwhile Luffy is rushing around with no clue as to which direction is north either.

Back at the slope, the caltrops are working and Usopp pulls out his slingshot to fire at the pirates. After taking out a few, Nami comments on how she thinks she will have a rest now, only to find some of the caltrops are behind them, which Usopp blames on her. As she turns around, she sights Usopp getting hit as the crew finally makes it up the slope.

The crew pass by him, Usopp grabs the leg of the man who hit him, claiming he will make sure the next day is as peaceful as the last for the village. As a pirate goes to kill Usopp, Nami finally steps in and knocks him away, but in turn is knocked away also. Jango orders the crew to just ignore the pair as they must get to the village before Kuro's plan goes wrong and Kuro kills them all. Usopp makes another attempt to stop the pirates; suddenly they are knocked away as Zoro and Luffy finally arrive."
30,Giant mecha versions of the Straw Hat Pirates rampage through a modern-day city.,"On the mansion doors steps, Kuro sits and he says the word ""late"". He pictures the other servant laying on the floor, injured and the room cut up from his attack. He comments on if Jango and the others are late he would kill them, setting off to find out where they may have gone.

On the slope, Jango stands behind his fallen crew. While Jango is looking on in awe and commenting to his crew about being defeated by a bunch of kids, Zoro, Luffy, Nami, and Usopp argue. Jango hypnotizes the crew into thinking that they are stronger than before, with one demonstrating this new found strength by shattering the nearby cliff wall. Sending them after Luffy and the others however, it is revealed that Jango also hypnotized Luffy at the same time to Zoro's complete disbelief.

Thrown into a hypnotized induced rage, Luffy successfully knocks back the Black Cat Pirates with his Gomu Gomu no Gatling Gun. Proceeding to storm past the invading pirates, Luffy grabs the figurehead of their ship and tears it off, turning to face the pirates. Realizing Luffy's intent to whack the entire crew with it, Jango quickly hypnotizes Luffy into falling asleep, causing the latter to drop the bow and crush himself and several pirates with it, the figurehead barely missing Jango himself. With Luffy having defeated the crew, Nami, Zoro, and Usopp begin to celebrate only for Jango to remind his crew that they will face Kuro's wrath if they fail.

While Zoro ensures the others know Luffy is not dead, two new voices suddenly call from on board the ship as somebody notices the stern missing; and Jango identifies them as the Nyaban Brothers.

Back at the village, Kuro heads towards the north coast only for Tamanegi to sight him; wondering why the butler would be walking around that early."
31,"The Straw Hat Pirates mold their hearts' desires from a cloudbank—Luffy a ship, Zoro a set of swords and a barrel of ale, and Nami a hoard of treasure.","At the mansion, Kaya has a nightmare where Usopp attempts to kill her for insulting his pirate blood. She goes looking around the mansion for Klahadore, only to find her servant Merry laying on the floor.

Merry manages to regain consciousness; however, he is too weak to get up. He tells Kaya about Klahadore attacking and trying to kill him and how Usopp really was correct; Klahadore really is a pirate. Kaya cries because the only one who knew the truth was chased away from the village while trying to protect it. More startling is the news from Merry that everyone else in the mansion is on vacation, Merry calms Kaya down since nothing has happened yet. Klahadore is after treasure, Merry tells Kaya to just give him what he is after to protect her life so the village can stay safe.

The Usopp Pirates gather outside the village, commenting how they think their captain lied about lying about the pirates coming. Just then, they spot Miss Kaya heading out of town.

Back at the coast, Zoro stands ready to fight whatever is coming up from the Black Cat Pirates next. The Nyaban Brothers, Buchi and Sham, appear. The pair appear afraid to attack Zoro. Sham runs towards Zoro in a cowardly fashion. However, at the last second Sham suddenly becomes confident and reveals he was faking his cowardice. The next thing, Zoro sees Sham standing there with two of his swords attached to his back."
32,"Color Cover: A Wuxia remix of the Straw Hat Pirates—Luffy and Zoro each wielding a cha trident, and Nami sporting a qipao with peacock-feather fan. A coiling golden dragon completes the scene.","Zoro demands Sham hand over his swords, but Sham refuses. Sham tosses Zoro's swords aside so he can fight Zoro, which annoys Zoro deeply. Zoro cuts Sham, believing Sham is finished, Zoro heads for his swords only to find Sham has survived on the account of the fact all Zoro managed to cut was his shirt because Sham is really skinny. Buchi enters the fight as Sham holds Zoro against the ground. Zoro manages to toss Sham aside and barely dodge the attack; the ground breaks where Buchi impacts it.

Zoro realizes that he has to fight with one sword against the pair and there is nothing he can do, and he also notes if Buchi hits him with that technique, he will break every bone in his body. The pair strike at Zoro in a fury of cat scratches, and Zoro can only defend against the pair for now. Usopp fires his slingshot in an attempt to aid Zoro, but Zoro takes the damage, leaving himself to be hit by Buchi. Nami angrily tells Usopp off for his failed attempt, but Usopp tells Zoro took the hit on purpose. Zoro yells on them that if they hit the pair, the Nyaban brothers will go after them instead.

Nami attempts to get Zoro's swords for him, however as she approaches so does Jango and he slashes her side with his ring. Suddenly, Jango gets a bad feeling come over him and the Nyaban brothers both become incredibly frightened. On top of the slope stands Kuro. Kuro demands to know why dawn has passed and his plan is not in motion."
33,Animal Theater: Zoro and Nami soar through the sky in biplanes; along for the ride on Zoro's plane are Luffy and a massive gorilla.,"Kuro demands to know how the Black Cat Pirates were beaten by a bunch of children. Jango states it was Kuro himself that said Usopp would not be a problem, but Kuro just states that the Black Cats are weaker than he thought they were.

Buchi and Sham cannot believe what they are hearing. They try to argue that while Kuro has been leading a peaceful existence in the village, they have been fighting hard against other pirates and plundering other villages and that in three years they have gotten a lot stronger. They attempt to kill Kuro before he kills them, but to their horror Kuro dodges the attack. He appears behind them but when they turn to strike, he once again appears behind them again with his special weapons, the Cat Claws, pointing at the pairs' throats. Jango comments how, with those weapons, Kuro can move silently and that Kuro's habit of lifting up his glasses still makes his hair stand on end. Kuro tells the Nyaban Brothers they have 5 minutes to kill them or he will kill everyone.

With renewed hope, the pair rush at Zoro. Nami kicks Zoro his swords, much to Zoro's annoyance. With all three swords in his hands, Zoro easily defeats the pair with a single move. Zoro points his sword at Kuro and states he is next. However, attention is drawn to Buchi, who still has survived Zoro's attack. Buchi demands that Jango hypnotize him so he can continue fighting.

While Zoro tackles the hypnotized Buchi, Nami makes an attempt to wake Luffy up. Jango spots this and throws his ring at her."
34,"Animal Theater: A jam session between the Straw Hats and the Town Musicians of Bremen, featuring the cat on flute, Luffy on cymbals, the dog on fiddle, Zoro on trumpet, the donkey on keyboard, Nami on xylophone, and the rooster on accordion. Backup vocals are sung by a trio of frogs.","Trying to wake up Luffy, Nami just steps on his face as Jango's weapon comes flying through the air towards her. Luffy wakes up, angry Nami stepped on his face, and the ring goes into the back of his head. Kuro is angry because he thought Luffy was already dead. Luffy stops the ring from cutting deep into his skull by stomping his feet hard against the ground. To the horror of the Black Cat Pirates, Luffy takes the ring out of his head and acts as if it was nothing, just saying that it hurt and he wants to know who threw it. The Black Cat Pirates then realize there is no way they can beat him in the 5 minutes Kuro gave them.

Luffy yells at Nami, thinking it was her who threw the ring. But then he sees her bleeding shoulder. Nami tells him to get the fight over and done with, that it is a battle they cannot afford to loose. Luffy's attention turns to Kuro. Kuro tells his former crew that they now have 3 minutes left to kill Luffy, Zoro, Nami and Usopp. The crew state they know they cannot keep to such a short deadline even with Jango and Buchi at their aid.

As Buchi is ordered to go after Zoro while Jango takes on Luffy, attention is drawn behind Kuro. Kaya has arrived to speak to Klahadore. Usopp is horrified she came here. Kuro is surprised to see her here, Kaya explains Merry told her the truth. As Kuro speaks, Kaya begins to realize this is indeed not the Klahadore she knew. She apologizes to Usopp for not believing him. Usopp is angry she did not run away, but Kaya asks him why he is fighting for the village when the other villagers ran him out of town.

She then offers Kuro all her fortune if he leaves the village. Kuro steps in and explains it is not treasure alone he seeks, but also a peaceful life. For the last past three years he has built up a reputation with the villagers, he has created a peaceful life and the incident involving his former crew and her will are all part of the scheme. Usopp tells Kaya to run now that she has spoken to him, but instead she pulls out a gun on him, Kaya demands him to leave.

Kuro comments that she has become ""stronger"" over the last three years. He then recollects the events of the last three years with her, the things they did together but then as a change of tone he calls the events ""stupid things"" and tells her straight he has done everything for her today, the day she dies. Kaya drops the gun as Kuro goes on about enduring the boring days in the past three years. Usopp is angry that Kuro is betraying Kaya's feelings. Usopp attempts to attack Kuro, but Kuro dodges the attack. As Kuro goes to strike Usopp as revenge for hitting him earlier, Luffy intervenes. Luffy punches him and swears Kuro will have a bad day since he hates being punched."
35,"Buggy's Crew Adventure Chronicles, Vol. 1: ""Buggy's Crew, After the Battle.""
Buggy, still missing his entire body save for head, hands, and feet, finds himself in an unknown sea, rowing for his life as a school of man-eating fish pursue his raft.","The Black Cat Pirates are amazed Luffy hit Kuro from down at the bottom of the slope. Although Kuro just lays there, his former crew are aware this silence means Kuro is angry now.

Before anything else can happen, the rest of the Usopp Pirates come running towards Kuro and hit him with various objects (a shovel, a baseball bat, and a frying pan). Ninjin, Tamanegi, and Piiman are all angry that their captain, Usopp, came to fight without them. Usopp begs them to run away, but they only do so when Kuro suddenly appears behind them. Kuro walks past the boys and straight up to Usopp and kicks him hard. Then ignoring Usopp, Kuro asks Luffy if he got his powers from a Devil Fruit. Luffy explains he ate the Gomu Gomu no Mi which made him like rubber. Jango is amazed the rumors are true and that they do indeed exist.

Kuro calls to Jango, telling him to just deal with Kaya and the Usopp pirates while he deals with Luffy. Zoro makes an attempt to block Jango's path to Kaya, but Buchi attacks. Buchi leaps into the air, but Zoro knows Buchi's trademark attack is about to hit him and while it does not hit him, the attack is more powerful than ever. Kuro comments on how Buchi does not know his own strength. Buchi manages to pin Zoro against the walls of the slope, however Zoro refuses to lose to someone he already defeated once before and pushes Buchi away from him.

Jango walks past Zoro, who is still being blocked by Buchi and Usopp can only stare on as his body refuses to move. Usopp gives his Usopp Pirates the most important task of all: protect Kaya and get her to a safe place. They escort Kaya into the forest, with Jango close behind them determined not to let them get away. As Jango goes to throw his ring again, Usopp hits him with his slingshot. Jango turns his attention to Usopp, but he is reminded he has a task to do by Kuro."
36,"Buggy's Crew Adventure Chronicles, Vol. 2: ""Mohji and Cabaji"".
Their captain gone and his two strongest lieutenants badly beaten, the Buggy Pirates are unceremoniously chased out of Orange Town by Chouchou and a mob of angry citizens.","Piiman asks the other Usopp Pirates to look back to see if Jango is following them as they escort Kaya through the forest. Just as they think they are safe, Jango's ring comes flying out through the trees in their direction, barely missing them but cutting up every tree they fly through. Jango tells them he is prepared to destroy the whole forest in order to find them.

The echoes of Jango chasing after the others can be heard back at the coastline. Kuro tells Usopp he has no feelings for Miss Kaya and if she does just happen to survive, he might thank her for being part of his scheme. As Usopp makes a break for it in order to aid Miss Kaya and the others, Buchi makes an attempt to once again get in the way, but Zoro once again blocks, this time he wastes no time with him. As Usopp makes another break for it, he falls to the ground too weak to continue on while Kuro laughs at his efforts. Usopp knows he cannot win, but is prepared to fight anyway.

Buchi tosses Zoro aside again. The other Black Cat Pirates mock Usopp and get a boulder thrown at them from Luffy. Zoro loses his temper at Buchi and finally makes the finishing strike against him. With Buchi out of the way, Zoro takes Usopp and heads out after Kaya and the others. Kuro attempts to prevent Zoro and Usopp from leaving, but Luffy sees to it that they are allowed to leave. Unfortunately, Kuro dodges the attack. Kuro then strikes back at Luffy, whom in turn strikes at him. Kuro now concentrates on Luffy only. Kuro asks Luffy why he fights for the village as an outside. Luffy tells him there is someone in the village he won't let die.

In the forest, Zoro's bad sense of direction is hindering his attempt to locate Kaya, even with Usopp's help. Elsewhere in the forest, Kaya is beginning to feel the height of her illness as the running around is bringing on her fever. The Usopp Pirates urge her on, but she asks them to leave which they refuse to. Jango finally catches up with them."
37,"Buggy's Crew Adventure Chronicles, Vol. 3: ""Buggy's Adventure""
Having made landfall, Buggy immediately starts hunting the first animal he sees: an apparently-defenseless chick.","The battle between Kuro and Luffy begins, and Luffy is unable to gain an upper hand against Kuro as he is too quick and agile. After a few punches, Kuro lands on Luffy's arm and heads straight for him. Luffy gets a kick to the face for his efforts and is knocked away. The Black Cat Pirates cheer Captain Kuro on, but Kuro reminds them that they should not be calling him that anymore.

Kuro flashbacks to 3 years ago. On board his ship, where he has summoned Jango. He announced his desire to give up being a pirate and told Jango he could be captain. His crew informed him a Marine ship had been spotted, which Kuro commented was the third time this week. Jango pointed out, that after they defeat the Marines they would become more famous, which Kuro confirmed that Jango is correct on that much so he would stop being Kuro. When Jango laughed since the Marines would chase him to death, Kuro announced he would kill himself.

On deck a crew member asked if he should fire the cannons, Kuro stated that he should just lower a small boat and then head towards the Marine ship alone. When all was silent, the crew prepared the cannons, believing Kuro is dead. However upon investigating the ship, they found Kuro had killed all the Marines onboard himself. Kuro started his plan by approaching a Marine who happened to be alive and stepped on his jaw to break it. To Kuro's amazement, the Marine talked back even with a broken jaw. Since the Marine spoke back, Kuro announced he could be the one to take the great Captain Kuro back alive.

Dressing up a member of the crew to look like Kuro, Jango hypnotized the unfortunate crew member into believing he was Kuro. Then the Marine was hypnotized into believing he had captured Kuro. The pair sail away and Kuro smiled as he watched, knowing soon the world would believe Kuro was dead and he could begin the rest of his plan.

In the present, Kuro asks Luffy if now he knows what he wants. Kuro once again attacks Luffy, Luffy reacts by shoving a rock in one of Kuro's Cat Claws, then he turns with the rock in his hands and snaps the Claw's blades. Luffy then says to Kuro  he shouldn't have been a pirate to begin with if he didn't want the fame that follows with it. Luffy then goes on about his own plan to become Pirate King."
38,"Color Cover: The Straw Hat Pirates summit a mountain; while Zoro sightsees, Usopp blows a conch, and Luffy yodels, Nami finds a goat eating her maps.","On the coastline, Kuro lays flat on his chest after Luffy has broken one of his Cat Claws. He gets up, the Black Cat Pirates encourage Kuro to kill Luffy and call his real name and not his fake name, which they remember that he told them not to call him Kuro. Kuro tells them to shut up, he already plans to kill the crew, including Jango once his plan is successful.

Back in the forest, Jango is having a hard time trying to hypnotize Kaya. She refuses to open her eyes. The Usopp Pirates (minus Usopp) lay pretending to be asleep having already been hypnotized themselves. When she refuses, he tries to force them open, the Usopp Pirates then attack, throwing pepper in his eyes and kicking him in the groin. When Jango recovers, Kaya and the others have departed. As Jango wanders through the forest, looking for them, they ambush him. Zoro and Usopp hear their voices in the forest and go to check out the noise. The Usopp Pirates continue their attack on Jango, who throws Onion into a tree as he fights back.

Back at the coastline, Kuro explains things would be more realistic if a few of the crew died here and that he planned on not letting any of his crew live in the beginning. In order to wipe out the name of Kuro, not only must his plan succeed, but his crew must die also so there is no one left who knows he is still alive. As Luffy speaks his mind about Kuro's ideas, Kuro return says more about the opinions of his own crew saying that in a true pirate fleet, all the member are pawns for the captain and should always follow orders no matter the sacrifice. Luffy states Kuro cannot beat Usopp even with the number of crew members he has. Kuro, humored by the thought, asks why to which Luffy replies its the way Kuro thinks. After punching Kuro, Luffy then states that he does not know what being a true pirate is.

After Luffy's hit and remark, Kuro tells Luffy he had insulted him and states he will show him about what being a pirate is. Kuro does a strange stance, seeing it makes the other Black Cat Pirates panic. They each beg him not to use that move while a clueless Luffy watches on.

On board the Black Cat Pirates' ship, Nami with the crews treasure, watches, wondering if the fight is over. Suddenly the crew begins to be cut up, which Luffy cannot figure out how Kuro got past him so fast. The crew state that Kuro will not stop this technique until he grows tired and there is no use trying to talk him out of it. Luffy is angered at the sight of Kuro cutting up his own crew, much to the amazement of Nami."
39,"Buggy's Crew Adventure Chronicles, Vol. 4: ""Buggy and the Big Bird""
Finding that the chicks he planned to eat are protected by a huge parent who intends to eat him, Buggy runs away in terror.","Luffy and Nami are still watching as Kuro continues to cut up the other Black Cat Pirates. Suddenly, Luffy is wounded by Kuro but he keeps his ground and grabs Kuro's jacket and throws him to the ground. Kuro mocks Luffy, saying he should have stood still so Kuro could kill him easier, and because Luffy stops him moving, his crew are still alive and suffering. Kuro goes to do his move again, but this time Luffy grabs him and holds him tight. Kuro is unable to move.

In the forest, Kaya agrees to sign the will if Jango stops hurting the Usopp Pirates. Jango throws them against trees and turns to Kaya, who has his hypnotizing ring and threatens to kill herself with it if he does not do what she says. Jango panics, because if he does not get the will signed before her death he is in trouble. While Kaya signs the will, the Usopp pirates pretend to be hurt. They discuss their options and agree that just because their losing does not mean they can run away. With the will signed, Jango now prepares himself to kill Kaya.

Zoro and Usopp spot them. Zoro tosses Usopp aside to stop Jango. As Jango goes in for the kill the Usopp Pirates ram a shovel between the cheeks of his rear. Angrily he kicks them aside and goes to kill Kaya, stating to Zoro he is too late to save her. But Zoro states it wasn't his goal to do so, he cuts some branches blocking a clear shot of Jango from Usopp. With the branches out of the way, Usopp now can fire a clear shot at Jango with his slingshot.

Back at the coastline, Kuro's crew cheer Luffy on. Luffy throws his head back and stretches his neck far enough back to tell the Black Cat pirates to stop cheering for him. Kuro in shock just keeps on about how his plan will not fail.

Jango is hit by Usopp's slingshot and at that same moment, Kuro also falls as Luffy pulls his head back and rams it into Kuro."
40,"Buggy's Crew Adventure Chronicles, Vol. 5: ""Battle of Wits""
A gloating Buggy sets a crude pitfall for Big Bird, who proves intelligent enough to easily uncover the trap.","Kuro falls to the ground with Luffy still holding onto him. The Black Cat Pirates are amazed Luffy was able to do so and cannot understand how. They demand to know who he is. Luffy explains he will never lose to a pirate who leaves the sea behind and that a pirate only leaves his name when he dies. Luffy tells them he will become the greatest pirate in the world. Luffy tosses Kuro at the pirates and tells them to leave and never come back again, and all the crew members run away. Luffy collapses, and Nami catches him. With the crew rushing to get away, Nami talks about pirates.

In the forest, Zoro ties his bandana around his arm and walks through the forest away from the defeated Jango.

Elsewhere in the forest Usopp has a chat with his Usopp Pirates and Kaya. He asks them to keep the event a secret form the rest of the village, even with pleas from all, he explains he is a liar, no one would believe them anyway. Usopp explains there will be no other pirate attacks, that life must continue on as normal with no one worrying over the possibility of what can happen. Everyone promises to keep the event a secret for the rest of their lives.

Back in the village, seven o'clock passes by and everyone notices something is missing as Usopp has not done his usual antics. Piiman, Ninjin and Tamanegi return home and get scolded by their parents for one thing or another related to the events of Kuro's plan. At the coastline, Usopp thanks all the Straw Hat Pirates. Back to the mansion, Kaya tends to Merry's wounds and tells him about her promise.

Elsewhere, near a cliff, Usopp calls together his Usopp Pirates and speaks to them. Usopp declares he will leave the island and become a real pirate, to which the others are shocked. He recalls the day he met them. He asks them to chase their dreams and with a tearful farewell between all four members, the Usopp Pirates are declared defunct."
41,Color Cover: A young Luffy poses for a picture with the Red Hair Pirates.,"After a hard battle, Nami, Luffy and Zoro are seen eating in a local restaurant. Suddenly Kaya enters and asks if she can have a word with them. Elsewhere Usopp sits at home after packing his bag, he states it's time to leave his home, however he packed his bag with so much stuff he cannot get out of the door. He rolls away after breaking the door getting out. After rolling away from his house, he smiles and collects his things up again.

Elsewhere, Merry and Kaya show the Straw Hat Pirates the ship they intend to give them, the Going Merry. Nami comments on it being a caravel. Merry explains that he designed the Merry and explains its rudder system, which Nami interrupts and says to just explain it to her. Kaya mentions she stocked up the Going Merry with the necessary food, which Luffy thanks her for, Zoro however tells him off when he gets his thanks wrong (see chapter notes).

Everyone's attention is drawn towards Usopp who is rolling down the slope. Luffy and Zoro stop him using their feet before he hits the ship. When Usopp says he will head out to sea and meet them someday, Luffy and Zoro tell him to just shut up and get on board the ship with them as captain, which Luffy instantly states is his job.

Ninjin, Tamanegi, and Piiman watch them leave, taking their former captain with them. They are happy that although Usopp always lived alone, he is surrounded by strong people now. Piiman has an idea suddenly.

Elsewhere also watching them leave, Merry and Kaya talk. Merry tells Kaya of Usopp's past. When Usopp was young, his father Yasopp left to become a pirate, leaving behind his wife and child, Usopp. His mother fell sick and the day before her death Usopp ran through the village calling that the Pirates are coming, his father was returning to take them away. She knew he was lying, but stated she was proud she had married him and happy he left to pursue his dream and believed that one day he would become as strong as his father. Usopp cried trying to stop her from talking as though she was about to die.

After his mother's death, Usopp was then alone, but he continued to call ""the pirates are coming"", even though he had no need to. Merry stated Kaya needs to continue on and be strong so she does not suffer as he used to as a repayment to him for saving her.

As the crew of the Straw Hat Pirates celebrates a new member and ship, back in the village the three former Usopp pirates prepare themselves. As they call ""The pirates are coming"", Kaya tells Merry she wants to become a doctor someday."
42,"Buggy's Crew Adventure Chronicles, Vol. 6: ""Journey Through the Sky—Part 2"".
Big Bird successfully captures and eats Buggy, only to spit him out due to his awful taste.","On the Going Merry, Luffy displays his concept for the crew's Jolly Roger, a straw hat skull and crossbones. His art skill is terribly lacking, so Usopp decides to show off his artistic ability. After his personal mark is shot down by Luffy and Zoro, the crew and Nami paint the improved Straw Hat emblem on the sails.

After this, Luffy tries to hit a large rock in the sea with one of the ship's cannons, missing each time. Usopp displays his marksmanship, blasting the rock to pieces before quickly being named as the crew's sniper.

In the kitchen, a serious discussion is underway. There is one more position to be filled, something very important for a long voyage. Luffy agrees, and decides that it is time to search for a musician. While the rest of the crew berates Luffy for his lack of vision, a mysterious attacker calls them out. After quickly defeating the swordsman, Zoro is treated to a surprise; it is his old partner Johnny. Johnny's partner, Yosaku, had become gravely ill. Unsure what to do, Johnny went to a rock in the ocean to think, the same one Luffy and Usopp used for target practice. Johnny thinks Yosaku is going to die, but Nami assures him it is just scurvy, and has Luffy and Usopp feed Yosaku some fresh limes.

After recovering, Johnny and Yosaku formally introduce themselves to the crew.

The Straw Hats and Nami decide that they definitely need a cook, and Johnny knows of one good place to look. A few days sailing from their current position is a very special restaurant near the Grand Line, a floating restaurant."
